item,itemLabel
http://www.wikidata.org/entity/Q74,Brеighton
http://www.wikidata.org/entity/Q322,Llanfairpwllgwyngyll
http://www.wikidata.org/entity/Q3979,Brideswell
http://www.wikidata.org/entity/Q3980,Kirknewton
http://www.wikidata.org/entity/Q3981,Rothienorman
http://www.wikidata.org/entity/Q3982,Strathdon
http://www.wikidata.org/entity/Q3984,Ruthven
http://www.wikidata.org/entity/Q4112,Stoneyburn
http://www.wikidata.org/entity/Q4114,Dechmont
http://www.wikidata.org/entity/Q4115,Mid Calder
http://www.wikidata.org/entity/Q9666,Croxley Green
http://www.wikidata.org/entity/Q17565,Kingston Deverill
http://www.wikidata.org/entity/Q18636,Hazel Grove
http://www.wikidata.org/entity/Q19174,Bedmond
http://www.wikidata.org/entity/Q19772,Radlett
http://www.wikidata.org/entity/Q19807,Kings Langley
http://www.wikidata.org/entity/Q19822,Ardeley
http://www.wikidata.org/entity/Q19853,Redbourn
http://www.wikidata.org/entity/Q19886,Bricket Wood
http://www.wikidata.org/entity/Q19923,Aldenham
http://www.wikidata.org/entity/Q19924,Batchworth
http://www.wikidata.org/entity/Q19926,Bovingdon
http://www.wikidata.org/entity/Q19930,Chipperfield
http://www.wikidata.org/entity/Q19931,Elstree
http://www.wikidata.org/entity/Q19934,Goffs Oak
http://www.wikidata.org/entity/Q19935,Leverstock Green
http://www.wikidata.org/entity/Q19940,Maple Cross
http://www.wikidata.org/entity/Q19945,Sarratt
http://www.wikidata.org/entity/Q19947,Wheathampstead
http://www.wikidata.org/entity/Q23063,Disley
http://www.wikidata.org/entity/Q26313,Lindsey Tye
http://www.wikidata.org/entity/Q28063,St. George's
http://www.wikidata.org/entity/Q28721,Beeston Regis
http://www.wikidata.org/entity/Q28983,Ridlington
http://www.wikidata.org/entity/Q29833,Peterculter
http://www.wikidata.org/entity/Q31006,Brades
http://www.wikidata.org/entity/Q31028,Houston
http://www.wikidata.org/entity/Q31123,Greenodd
http://www.wikidata.org/entity/Q31698,Roughton
http://www.wikidata.org/entity/Q33867,Edwardstone
http://www.wikidata.org/entity/Q33980,Ceres
http://www.wikidata.org/entity/Q38583,Woodsford
http://www.wikidata.org/entity/Q39439,Bacton
http://www.wikidata.org/entity/Q39445,Sustead
http://www.wikidata.org/entity/Q39448,Overstrand
http://www.wikidata.org/entity/Q45603,Woodford
http://www.wikidata.org/entity/Q45832,Blairlogie
http://www.wikidata.org/entity/Q45853,Riccarton
http://www.wikidata.org/entity/Q48273,Adamstown
http://www.wikidata.org/entity/Q51906,Bowmore
http://www.wikidata.org/entity/Q51915,Port Charlotte
http://www.wikidata.org/entity/Q58084,Waringsford
http://www.wikidata.org/entity/Q58090,Rathfriland
http://www.wikidata.org/entity/Q58094,Royal Hillsborough
http://www.wikidata.org/entity/Q58097,Saintfield
http://www.wikidata.org/entity/Q58126,Castlewellan
http://www.wikidata.org/entity/Q58134,Rostrevor
http://www.wikidata.org/entity/Q59211,Barnston
http://www.wikidata.org/entity/Q59212,Birchanger
http://www.wikidata.org/entity/Q59214,Berden
http://www.wikidata.org/entity/Q59594,Great Canfield
http://www.wikidata.org/entity/Q60388,Cley-Next-the-Sea
http://www.wikidata.org/entity/Q60755,Atticall
http://www.wikidata.org/entity/Q60757,Ballykinler
http://www.wikidata.org/entity/Q60759,Ballela
http://www.wikidata.org/entity/Q60761,Balloo
http://www.wikidata.org/entity/Q60762,Ballyhornan
http://www.wikidata.org/entity/Q60771,Carrowdore
http://www.wikidata.org/entity/Q60773,Ballyhalbert
